MovieID,age,smile,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise
m4,23,100.0,0,0,0,0,1,0,0,0;
m50,18,100.0,0,0,0,0,1,0,0,0;
m16,21,0.0,0.259,0.004,0.002,0,0,0.733,0.001,0.001;
m8,24,100.0,0,0,0,0,1,0,0,0;
m26,18,33.9,0,0.005,0,0,0.339,0.653,0.002,0;
m13,18,0.0,0,0,0,0,0,0.997,0.001,0.001;
m11,18,0.0,0,0,0,0,0,0.407,0.503,0;
m6,19,0.0,0,0,0,0,0,0.999,0,0;
m10,23,71.4,0,0,0,0,0.714,0.264,0,0.022;
m17,18,0.0,0.001,0,0,0,0,0.916,0.083,0;
m31,18,0.0,0,0,0,0,0,0.912,0,0.088;
m13,20,0.0,0,0,0,0,0,0.98,0.02,0;
m51,19,0.0,0,0,0,0,0,0.98,0.016,0.004;
m12,23,0.0,0,0,0,0,0,1,0,0;
m52,19,98.9,0.001,0.003,0.002,0,0.989,0.005,0,0;
m45,18,0.0,0.001,0,0,0,0,0.916,0.083,0;
m53,19,0.0,0,0.002,0,0,0,0.995,0.003,0;
m31,17,0.0,0,0,0,0,0,0.974,0.025,0;
m9,19,100.0,0,0,0,0,1,0,0,0;
m30,19,47.7,0,0.006,0,0,0.477,0.517,0,0;
m34,22,0.0,0,0,0,0.79,0,0,0,0.209;
m54,20,100.0,0,0,0,0,1,0,0,0;
m47,17,58.9,0,0.05,0.001,0,0.589,0.359,0.001,0;
m3,20,100.0,0,0,0,0,1,0,0,0;
m32,20,1.3,0.001,0.001,0.001,0.009,0.013,0.543,0.004,0.428;
m46,20,28.6,0,0.006,0,0,0.286,0.7,0.001,0.007;
m34,18,3.4,0,0.001,0,0,0.034,0.961,0.001,0.003;
m7,16,0.1,0,0.005,0,0,0.001,0.933,0.061,0;
m55,19,0.0,0,0,0,0,0,0.993,0.002,0.005;
m56,17,0.0,0,0,0,0,0,0.999,0.001,0;
m6,22,99.9,0,0,0.001,0,0.999,0,0,0;
m57,22,0.0,0,0,0,0,0,0.02,0.912,0.3;
m11,18,93.0,0,0,0,0,0.93,0.069,0,0;
m36,21,0.0,0.043,0.526,0.001,0,0,0.418,0.012,0;
m17,18,0.0,0,0,0,0,0,0.988,0.012,0;
m32,21,0.0,0,0,0,0.336,0,0.001,0,0.663;
m16,18,0.0,0.034,0.003,0.076,0,0,0.781,0.106,0;
m58,20,0.0,0,0,0,0.008,0,0.251,0.001,0.74;
m59,21,0.0,0,0,0,0,0,0.3,0.976,0.2;
m60,19,0.0,0,0,0,0.136,0,0,0,0.864;
m33,18,0.0,0,0,0,0,0,0.988,0.012,0;
m61,19,0.0,0.006,0.037,0,0,0,0.918,0.038,0;
m62,20,19.6,0,0.001,0,0,0.196,0.783,0.02,0;
m32,20,5.2,0.002,0,0,0,0.052,0.008,0,0.936;
m63,24,0.0,0,0,0,0,0,0.3,0.676,0.5;
m64,19,0.3,0,0.001,0,0,0.003,0.958,0.038,0;
m7,18,0.0,0,0,0,0,0,0.996,0.003,0;
m43,22,82.3,0,0,0,0,0.946,0.054,0,0;
m8,19,82.6,0,0.031,0,0,0.826,0.143,0,0;
